signal,obs1,obs2
0,1.0045707464430167,1.0047431686546417,1.0044009780643013
1,1.0028223494668438,1.0034353081056302,1.0022188251682884
2,1.0029492958543127,1.0038123818842724,1.0020994939951604
3,1.003219466948008,1.0049956076503155,1.0014706636786423
4,1.0042070219090724,1.0048151876703086,1.0036082167185911
5,1.0012956500226236,1.002066278516569,1.000536882641229
6,1.004116592327225,1.0038168140972956,1.0044117565267192
7,1.0021779926489556,1.0025877287645564,1.0017745629783168
8,1.0029162716663165,1.0028045732521569,1.003026250876641
9,1.0030279325972236,1.003463079382581,1.0025994833646275
10,1.0036073813399042,1.0030431146910137,1.0041629630903206
11,1.002319571802919,1.004196957569247,1.0004710817808453
12,1.0029874119559135,1.0036365361354123,1.002348278757819
13,1.0028133088651345,1.003170498857644,1.0024616165550189
14,1.0036251493314159,1.003378283899647,1.0038682151389897
15,1.0022538150348914,1.0030797708105135,1.0014405719405342
16,1.0033941845954926,1.0043379581002836,1.0024649371611118
17,1.002390795077466,1.0028323102118963,1.00195607551411
18,1.0030411593315745,1.003279693200705,1.002806296851565
19,1.002527023831395,1.001902596173433,1.0031418406239543
20,1.0008805579824633,1.000248151867224,1.0015032304320395
21,1.003822482674285,1.0036760886221887,1.0039666235053517
22,1.003778759035973,1.003861735354217,1.0036970598460178
23,1.0025628515997362,1.0020355695798233,1.0030820179693285
24,1.0042645991483727,1.0050580834726117,1.0034833277217245
25,1.0018261460685638,1.00153830574081,1.0021095561078568
26,1.0028779506073493,1.003064825086971,1.0026939524024217
27,1.0021387053649307,1.0026185387784023,1.0016662572975341
28,1.0032862203226296,1.0042977720372157,1.00229023788537
29,1.003865529573512,1.0044417534052088,1.0032981746790217
30,1.0024126358676952,1.0029420264761222,1.0018913933638858
31,1.0018152473766238,1.0023083524116392,1.0013297319575722
32,1.0,1.0,1.0
33,0.9984022069827606,0.997929613995202,0.9988675260651106
34,0.9981078817089521,0.9983724329207148,0.9978474023317021
35,0.9971504372575093,0.9973369154976897,0.996966829193312
36,0.9956948422231806,0.996981982290082,0.9944275131460396
37,0.9955653342420719,0.9961553502144972,0.9949843994883022
38,0.9949757346153173,0.9940422069761243,0.9958948938831294
39,0.9938417376186963,0.9934147866080653,0.9942621172216638
40,0.9923352783048689,0.992002981116134,0.9926624609482854
41,0.9914823170778988,0.9913138119922453,0.9916482286210063
42,0.9911900692528878,0.9908059174957984,0.9915683083461407
43,0.9937696864602806,0.9940009476801299,0.9935419846927211
44,0.9911896606824009,0.99100694207098,0.9913695669840875
45,0.9906570180295373,0.9908579500276662,0.9904591786721085
46,0.9905894336601838,0.9899603600364203,0.9912088249102574
47,0.9922403985457483,0.9916726046077238,0.9927994532951008
48,0.9896010508379401,0.9888251693275167,0.9903649903841182
49,0.9903681838525803,0.9900492157998722,0.9906822425150922
50,0.9898776344571188,0.9893738369392989,0.9903736777858468
51,0.9899816247697794,0.9904554593748552,0.9895150831802425
52,0.9887478971954423,0.9891673191934883,0.988334930722418
53,0.988650050235814,0.9883302278701728,0.988964950062119
54,0.9893648279648276,0.9895564280561605,0.9891761768823439
55,0.9898943527219631,0.9899147129124458,0.9898743059049316
56,0.9895128792044886,0.9892228668661488,0.9897984278239116
57,0.9895165558482419,0.989299222179393,0.9897305444304147
58,0.9888356506649439,0.9884710687043141,0.9891946211698558
59,0.9892692907857648,0.9887390327168428,0.989791387398569
60,0.988020079817448,0.9881616342344998,0.9878807041322833
61,0.9890313348534256,0.9883168562788889,0.9897348165457368
62,0.9885688078683622,0.9879989685884656,0.9891298764787496
63,0.9877872576890856,0.9871657425978831,0.9883992067435963
64,0.9889333591956977,0.9888764139528025,0.988989427967063
65,0.9882051902531315,0.9881405326814687,0.9882688526491151
66,0.9883550365235807,0.9870597106178033,0.9896304254474282
67,0.9897542942251787,0.9893205179933127,0.9901813939991295
68,0.9892858606835404,0.9878233562608822,0.9907258549995784
69,0.9878080619349009,0.988640070089916,0.9869888596162226
70,0.9882782187818347,0.9894764868862156,0.9870983937962381
71,0.9886878660723192,0.9891081590165068,0.9882740420583028
72,0.9894862832493174,0.9900814429947093,0.9889002838928569
73,0.9885409453949036,0.987574495023855,0.9894925206650236
74,0.9892316938802765,0.9893757809244735,0.9890898245488449
